"","Country","Region","Happiness Score_2015","Explained by: GDP per capita_2015","Explained by: Social support_2015","Explained by: Healthy life expectancy_2015","Explained by: Freedom to make life choices_2015","Explained by: Generosity_2015","Explained by: Perceptions of corruption_2015","Happiness Score_2016","Explained by: GDP per capita_2016","Explained by: Social support_2016","Explained by: Healthy life expectancy_2016","Explained by: Freedom to make life choices_2016","Explained by: Generosity_2016","Explained by: Perceptions of corruption_2016","Happiness Score_2017","Explained by: GDP per capita_2017","Explained by: Social support_2017","Explained by: Healthy life expectancy_2017","Explained by: Freedom to make life choices_2017","Explained by: Generosity_2017","Explained by: Perceptions of corruption_2017","Happiness Score_2018","Explained by: GDP per capita_2018","Explained by: Social support_2018","Explained by: Healthy life expectancy_2018","Explained by: Freedom to make life choices_2018","Explained by: Generosity_2018","Explained by: Perceptions of corruption_2018","Happiness Score_2019","Explained by: GDP per capita_2019","Explained by: Social support_2019","Explained by: Healthy life expectancy_2019","Explained by: Freedom to make life choices_2019","Explained by: Generosity_2019","Explained by: Perceptions of corruption_2019","Happiness Score_2020","Explained by: GDP per capita_2020","Explained by: Social support_2020","Explained by: Healthy life expectancy_2020","Explained by: Freedom to make life choices_2020","Explained by: Generosity_2020","Explained by: Perceptions of corruption_2020","Happiness Score_2021","Explained by: GDP per capita_2021","Explained by: Social support_2021","Explained by: Healthy life expectancy_2021","Explained by: Freedom to make life choices_2021","Explained by: Generosity_2021","Explained by: Perceptions of corruption_2021","Happiness Score_2022","Explained by: GDP per capita_2022","Explained by: Social support_2022","Explained by: Healthy life expectancy_2022","Explained by: Freedom to make life choices_2022","Explained by: Generosity_2022","Explained by: Perceptions of corruption_2022"
"1","Afghanistan","South Asia",3.57500004768372,0.31982085108757,0.302853047847748,0.303354173898697,0.234137743711472,0.365103781223297,0.0971883684396744,3.35999989509583,0.382265657186508,0.110368497669697,0.173436045646667,0.164304628968239,0.312679827213287,0.0711163207888603,3.79399991035461,0.401477217674255,0.581543326377869,0.180746778845787,0.106179520487785,0.311870932579041,0.0611578300595284,3.63150000572205,0.331814259290695,0.537191331386566,0.254771560430527,0.0845517739653587,0.191003918647766,0.0362676978111267,3.20329999923706,0.349630922079086,0.517003238201141,0.360616266727448,0,0.158151417970657,0.0248752124607563,2.56690001487732,0.300705850124359,0.356433838605881,0.266051530838013,0,0.135234713554382,0.00122578535228968,2.52290010452271,0.37011992931366,0,0.12644000351429,0,0.121641151607037,0.00956909265369177,2.40380001068115,0.757993757724762,0,0.288626044988632,0,0.0888728052377701,0.00488166697323322
"2","Albania","Central and Eastern Europe",4.95900011062622,0.878674864768982,0.804339110851288,0.81325352191925,0.357325524091721,0.142724946141243,0.0641267523169518,4.65500020980835,0.955302894115448,0.501627385616302,0.730069756507874,0.318660259246826,0.168395012617111,0.0530097372829914,4.64400005340576,0.996192753314972,0.803685247898102,0.731159746646881,0.381498634815216,0.201312944293022,0.0398642159998417,4.58599996566772,0.915782332420349,0.817404687404633,0.790387153625488,0.41866934299469,0.14921273291111,0.0324355699121952,4.71859979629517,0.94710111618042,0.847680747509003,0.874208450317383,0.383339017629623,0.178158894181252,0.0270839482545853,4.88269996643066,0.906653046607971,0.830483913421631,0.846329629421234,0.46194589138031,0.171027764678001,0.0253612846136093,5.11740016937256,1.00799787044525,0.529002547264099,0.64631974697113,0.490977466106415,0.168454393744469,0.0244441907852888,5.1988000869751,1.43853402137756,0.645735681056976,0.718950688838959,0.510916233062744,0.138386264443398,0.0283806268125772
"3","Algeria","Middle East and North Africa",5.60500001907349,0.939290344715118,1.07771944999695,0.617659211158752,0.285786390304565,0.0782231241464615,0.173831969499588,6.35500001907349,1.0526602268219,0.833085119724274,0.618043005466461,0.210056841373444,0.0704415887594223,0.161569893360138,5.87200021743774,1.09186446666718,1.1462174654007,0.617584645748138,0.233335807919502,0.0694366469979286,0.146096110343933,5.29460000991821,0.978857398033142,1.15365600585938,0.686598539352417,0.0772797837853432,0.0551946423947811,0.134516581892967,5.21129989624023,1.00151526927948,1.15961825847626,0.785281598567963,0.0855325385928154,0.0726418122649193,0.114427745342255,5.00509977340698,0.943856000900269,1.14300358295441,0.745418548583984,0.0839437991380692,0.118915013968945,0.129190653562546,4.88710021972656,0.945766627788544,0.764516770839691,0.551997661590576,0.119209297001362,0.144275307655334,0.11955289542675,5.12230014801025,1.36278200149536,0.969617366790771,0.643150448799133,0.145985439419746,0.106462612748146,0.149846374988556
"4","Angola","Sub-Saharan Africa",4.03299999237061,0.7577845454216,0.860398232936859,0.166827112436295,0.103843182325363,0.123438142240047,0.0712156072258949,3.8659999370575,0.847309827804565,0.663659393787384,0.0499126836657524,0.00588635075837374,0.120707437396049,0.0843387469649315,3.79500007629395,0.858428180217743,1.10441195964813,0.0498686656355858,0,0.097926490008831,0.0697203353047371,3.79480004310608,0.730156660079956,1.12502038478851,0.268985629081726,0,0.0788681730628014,0.0612761490046978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Argentina","Latin America and Caribbean",6.57399988174438,1.05350518226624,1.24823331832886,0.787230134010315,0.449736475944519,0.114508390426636,0.0848365724086761,6.65000009536743,1.15136528015137,1.06612432003021,0.697112739086151,0.422835111618042,0.109889276325703,0.072960153222084,6.59899997711182,1.18529546260834,1.44045114517212,0.695137083530426,0.494519203901291,0.109457060694695,0.059739887714386,6.38800001144409,1.07267069816589,1.46834146976471,0.743585169315338,0.569710254669189,0.0619422122836113,0.0535070784389973,6.08629989624023,1.09151566028595,1.43150758743286,0.880779325962067,0.470637440681458,0.0659198015928268,0.0496974252164364,5.97469997406006,1.02846562862396,1.37254369258881,0.849773705005646,0.520840346813202,0.0701004713773727,0.0604150593280792,5.92929983139038,1.16211807727814,0.979849874973297,0.64634382724762,0.543605089187622,0.0694407746195793,0.0672074928879738,5.96700000762939,1.59165561199188,1.10197591781616,0.661976397037506,0.555375695228577,0.0805148184299469,0.0849260315299034
"6","Armenia","Commonwealth of Independent States",4.34999990463257,0.768211960792542,0.777113258838654,0.729897379875183,0.198473677039146,0.0785532221198082,0.0390046574175358,4.3600001335144,0.860859155654907,0.624768197536469,0.640833914279938,0.140372410416603,0.0779285728931427,0.0361571684479713,4.37599992752075,0.900596737861633,1.00748372077942,0.637524425983429,0.198303267359734,0.0834880918264389,0.0266744215041399,4.3206000328064,0.816387414932251,0.990200042724609,0.666189014911652,0.260099738836288,0.0770520865917206,0.0276431497186422,4.55940008163452,0.850108981132507,1.05493986606598,0.814928293228149,0.282625108957291,0.0950329899787903,0.0637953281402588,4.67679977416992,0.808262407779694,1.03457689285278,0.775857269763947,0.378075808286667,0.107225738465786,0.104618184268475,5.28259992599487,0.996425986289978,0.757972776889801,0.585085928440094,0.539768517017365,0.0786109641194344,0.197644144296646,5.39860010147095,1.43412256240845,0.819904386997223,0.668132901191711,0.557606995105743,0.0544901303946972,0.209901303052902
"7","Australia","North America and ANZ",7.28399991989136,1.33358418941498,1.30922853946686,0.931555867195129,0.65124374628067,0.435615837574005,0.356365114450455,7.31300020217896,1.44442617893219,1.10475528240204,0.851203441619873,0.568365871906281,0.474068999290466,0.323306560516357,7.28399991989136,1.484414935112,1.51004195213318,0.84388679265976,0.601607382297516,0.477699249982834,0.301183730363846,7.27209997177124,1.33995127677917,1.57253634929657,0.910444676876068,0.646525800228119,0.361004859209061,0.302351891994476,7.22800016403198,1.37154543399811,1.54795742034912,1.03553199768066,0.557171642780304,0.331549167633057,0.28996217250824,7.22279977798462,1.31039643287659,1.47714626789093,1.02260768413544,0.621877193450928,0.324973613023758,0.33599641919136,7.18349981307983,1.45348453521729,1.07588040828705,0.800667107105255,0.64723539352417,0.291388630867004,0.316982120275497,7.16209983825684,1.89988851547241,1.20338428020477,0.772303640842438,0.676495969295502,0.257609158754349,0.341045796871185
"8","Austria","Western Europe",7.19999980926514,1.33723223209381,1.29704129695892,0.890421628952026,0.624334812164307,0.33088493347168,0.186761677265167,7.11899995803833,1.45038247108459,1.08383250236511,0.805645227432251,0.543551921844482,0.328647077083588,0.213483572006226,7.00600004196167,1.48709726333618,1.4599449634552,0.815328419208527,0.567766189575195,0.316472321748734,0.221060365438461,7.13940000534058,1.34135162830353,1.50410151481628,0.891358375549316,0.617242217063904,0.242010593414307,0.223820000886917,7.24599981307983,1.3755419254303,1.47522246837616,1.01577663421631,0.532074809074402,0.243566691875458,0.226221069693565,7.29419994354248,1.31728553771973,1.43744492530823,1.00093352794647,0.603368878364563,0.25550976395607,0.281256139278412,7.26779985427856,1.49216377735138,1.06242251396179,0.781758427619934,0.63998407125473,0.215089976787567,0.292055875062943,7.16300010681152,1.93132257461548,1.16525661945343,0.773750185966492,0.622788727283478,0.193279474973679,0.329127043485641
"9","Azerbaijan","Commonwealth of Independent States",5.21199989318848,1.02388834953308,0.937932074069977,0.640452563762665,0.37029629945755,0.077992856502533,0.160654008388519,5.29099988937378,1.12373232841492,0.76042366027832,0.545036375522614,0.353265970945358,0.0563963018357754,0.179136723279953,5.23400020599365,1.15360176563263,1.15240025520325,0.540775775909424,0.398155838251114,0.0452693402767181,0.180987507104874,5.20060014724731,1.02401828765869,1.16089129447937,0.602876424789429,0.429843485355377,0.030907966196537,0.176491767168045,5.2076997756958,1.04280292987823,1.14733505249023,0.768872976303101,0.351472288370132,0.0354719236493111,0.182139456272125,5.16480016708374,0.990272700786591,1.18061304092407,0.731134057044983,0.467734724283218,0.0401132144033909,0.247307181358337,5.17080020904541,1.02484881877899,0.841063916683197,0.541015088558197,0.526176393032074,0.0427963696420193,0.276053130626678,NA,NA,NA,NA,NA,NA,NA
"10","Bahrain","Middle East and North Africa",5.96000003814697,1.32376205921173,1.21624398231506,0.747157454490662,0.454917788505554,0.173621356487274,0.30599707365036,6.21799993515015,1.44024407863617,0.943967640399933,0.656957924365997,0.473753094673157,0.171470031142235,0.257721453905106,6.08699989318848,1.48841226100922,1.32311046123505,0.653133034706116,0.536746919155121,0.172668486833572,0.257042169570923,6.10510015487671,1.33776962757111,1.36563968658447,0.698415517807007,0.594379961490631,0.24293951690197,0.123062886297703,6.19939994812012,1.36181056499481,1.36755895614624,0.871097266674042,0.535696744918823,0.254980385303497,0.110143572092056,6.22730016708374,1.29669225215912,1.31532371044159,0.838836371898651,0.610399901866913,0.287453711032867,0.12669725716114,6.64690017700195,1.40911638736725,0.899012088775635,0.661932170391083,0.661032259464264,0.246107786893845,0.138614639639854,6.64690017700195,1.85397863388062,1.02893006801605,0.624890506267548,0.692910313606262,0.199259996414185,0.154591858386993
